CommitID,LocalRepoName,TargetDirectory
3cf52814e173e91c4b7b94463dd40cf8ee8450c8,units.amounts,lib\vs\core
76fdbf630a8cf485437ecad4383a5a0085846696,enums,lib\vs\core
7c43226b1c63cadd5d4095756f98883ed416dc3b,json,lib\vs\core
90e85961ecd3cd9277fe80a05cbe1ae053055ad2,tracing,lib\vs\core
42ab8a7d0ad5cf84b48fd5d888c8680d3c03520c,std,lib\vs\core
90e85961ecd3cd9277fe80a05cbe1ae053055ad2,tracing,lib\vs\core
7efa8c9d3ff1aa743155ffc94f248b79248b3417,vi,lib\vs\vi
a4762dadb279896aa5d1b723ceb17c8f65dab259,visa,lib\vs\io
ced724cc3b90b70a6373e1782a79786546f0f098,ide,libraries\vs\core
5ea133a6a6153353ef8e1a3cbbecc5a1288c7744,wix,libraries\vs\core
